"status","message","data__total","data__result__value","data__result__time","data__result__date","data__result__span","data__average","data__location_id","data__commodity_id","data__legend","data__commodity_name","stat__|","stat__|__total","stat__|__nb_data","stat__|__avg"
"","","","10500","January 23, 2015","2015-01-23","23","","","","","","January 23, 2015","10500","1","10500"
"","","","10500","January 30, 2015","2015-01-30","30","","","","","","January 30, 2015","10500","1","10500"
"","","","10500","February 6, 2015","2015-02-06","37","","","","","","February 6, 2015","10500","1","10500"
"","","","10000","February 13, 2015","2015-02-13","44","","","","","","February 13, 2015","10000","1","10000"
"","","","10000","February 20, 2015","2015-02-20","51","","","","","","February 20, 2015","10000","1","10000"
"","","","12000","February 27, 2015","2015-02-27","58","","","","","","February 27, 2015","12000","1","12000"
"","","","12000","March 6, 2015","2015-03-06","65","","","","","","March 6, 2015","12000","1","12000"
"","","","12000","March 13, 2015","2015-03-13","72","","","","","","March 13, 2015","12000","1","12000"
"","","","11800","March 20, 2015","2015-03-20","79","","","","","","March 20, 2015","11800","1","11800"
"","","","11500","March 27, 2015","2015-03-27","86","","","","","","March 27, 2015","11500","1","11500"
"","","","11000","April 3, 2015","2015-04-03","93","","","","","","April 3, 2015","11000","1","11000"
"","","","11000","April 10, 2015","2015-04-10","100","","","","","","April 10, 2015","11000","1","11000"
"","","","11000","April 17, 2015","2015-04-17","107","","","","","","April 17, 2015","11000","1","11000"
"","","","11000","April 24, 2015","2015-04-24","114","","","","","","April 24, 2015","11000","1","11000"
"","","","11000","May 1, 2015","2015-05-01","121","","","","","","May 1, 2015","11000","1","11000"
"","","","11000","May 8, 2015","2015-05-08","128","","","","","","May 8, 2015","11000","1","11000"
"","","","11000","May 15, 2015","2015-05-15","135","","","","","","May 15, 2015","11000","1","11000"
"","","","11000","May 22, 2015","2015-05-22","142","","","","","","May 22, 2015","11000","1","11000"
"","","","11000","May 29, 2015","2015-05-29","149","","","","","","May 29, 2015","11000","1","11000"
"","","","11000","June 5, 2015","2015-06-05","156","","","","","","June 5, 2015","11000","1","11000"
"","","","11000","June 12, 2015","2015-06-12","163","","","","","","June 12, 2015","11000","1","11000"
"","","","11000","June 19, 2015","2015-06-19","170","","","","","","June 19, 2015","11000","1","11000"
"","","","11000","June 26, 2015","2015-06-26","177","","","","","","June 26, 2015","11000","1","11000"
"","","","11000","July 3, 2015","2015-07-03","184","","","","","","July 3, 2015","11000","1","11000"
"","","","11000","July 10, 2015","2015-07-10","191","","","","","","July 10, 2015","11000","1","11000"
"","","","11000","July 17, 2015","2015-07-17","198","","","","","","July 17, 2015","11000","1","11000"
"","","","11000","July 24, 2015","2015-07-24","205","","","","","","July 24, 2015","11000","1","11000"
"","","","11000","July 31, 2015","2015-07-31","212","","","","","","July 31, 2015","11000","1","11000"
"","","","11000","August 7, 2015","2015-08-07","219","","","","","","August 7, 2015","11000","1","11000"
"","","","11000","August 14, 2015","2015-08-14","226","","","","","","August 14, 2015","11000","1","11000"
"","","","11500","August 21, 2015","2015-08-21","233","","","","","","August 21, 2015","11500","1","11500"
"","","","12000","August 28, 2015","2015-08-28","240","","","","","","August 28, 2015","12000","1","12000"
"","","","11500","September 4, 2015","2015-09-04","247","","","","","","September 4, 2015","11500","1","11500"
"","","","11000","September 11, 2015","2015-09-11","254","","","","","","September 11, 2015","11000","1","11000"
"","","","11000","September 18, 2015","2015-09-18","261","","","","","","September 18, 2015","11000","1","11000"
"","","","11000","September 25, 2015","2015-09-25","268","","","","","","September 25, 2015","11000","1","11000"
