79000,2013-08-08
79000,2013-08-09
79000,2013-08-09
71667,2013-08-11
78000,2013-08-12
76000,2013-08-13
76000,2013-08-14
76000,2013-08-15
44000,2013-08-16
44000,2013-08-17
50000,2013-08-18
44000,2013-08-19
44000,2013-08-20
46000,2013-08-21
50000,2013-08-22
50000,2013-08-23
55000,2013-08-24
48333,2013-08-25
48000,2013-08-26
48000,2013-08-27
48000,2013-08-28
50000,2013-08-29
50000,2013-08-30
56000,2013-08-31
54167,2013-09-01
56000,2013-09-02
56000,2013-09-03
52000,2013-09-04
52000,2013-09-04
52000,2013-09-04
52000,2013-09-04
40000,2013-09-08
40000,2013-09-08
40000,2013-09-08
43000,2013-09-11
39000,2013-09-12
39000,2013-09-12
43000,2013-09-14
40500,2013-09-15
40500,2013-09-15
40500,2013-09-15
42000,2013-09-18
42000,2013-09-19
42000,2013-09-20
42000,2013-09-20
25000,2013-09-22
25000,2013-09-22
25000,2013-09-22
25000,2013-09-22
37000,2013-09-26
34000,2013-09-27
34000,2013-09-28
30500,2013-09-29
30500,2013-09-29
30500,2013-09-29
32000,2013-10-02
32000,2013-10-03
32000,2013-10-04
32000,2013-10-05
33333,2013-10-06
33333,2013-10-06
33333,2013-10-06
42000,2013-10-09
42000,2013-10-10
42000,2013-10-11
42000,2013-10-12
41667,2013-10-13
41667,2013-10-13
41667,2013-10-13
41667,2013-10-13
41667,2013-10-13
48750,2013-10-18
47000,2013-10-19
45833,2013-10-20
45833,2013-10-20
45833,2013-10-20
47000,2013-10-23
44000,2013-10-24
43000,2013-10-25
43000,2013-10-26
40833,2013-10-27
40833,2013-10-27
40833,2013-10-27
43000,2013-10-30
41000,2013-10-31
41000,2013-11-01
40000,2013-11-02
38833,2013-11-03
38833,2013-11-03
38833,2013-11-03
33600,2013-11-06
32600,2013-11-07
32600,2013-11-08
32600,2013-11-09
32167,2013-11-10
32167,2013-11-10
32167,2013-11-10
28600,2013-11-13
28600,2013-11-14
28600,2013-11-15
28600,2013-11-16
27167,2013-11-17
27167,2013-11-17
27167,2013-11-17
27000,2013-11-20
27000,2013-11-21
27000,2013-11-22
27000,2013-11-23
25833,2013-11-24
25833,2013-11-24
25833,2013-11-24
26600,2013-11-27
26600,2013-11-28
26600,2013-11-29
24600,2013-11-30
24167,2013-12-01
24167,2013-12-01
24167,2013-12-01
22800,2013-12-04
22800,2013-12-05
22800,2013-12-06
22800,2013-12-07
23000,2013-12-08
23000,2013-12-08
23000,2013-12-08
22800,2013-12-11
22800,2013-12-12
22800,2013-12-13
22500,2013-12-14
23333,2013-12-15
23333,2013-12-15
23333,2013-12-15
30600,2013-12-18
29000,2013-12-19
29000,2013-12-20
28600,2013-12-21
29500,2013-12-22
29500,2013-12-22
29500,2013-12-22
36600,2013-12-25
38600,2013-12-26
38600,2013-12-26
38600,2013-12-26
36167,2013-12-29
